nome,id,Proteína,Carboidrato,Energia,Colesterol,Lipídeos,Fibra Alimentar,Vitamina C,Ferro,Cálcio,Sódio,Magnésio,Potássio,Manganês,Fósforo,Cobre,Zinco,Cinzas,Retinol,Tiamina,Riboflavina,Piridoxina,Niacina,RE,RAE,Umidade
"Banana, doce em barra",111,100,2.20,75.70,280,0,0.10,3.80,0,0.60,12,10,49,518,0.84,37,0.16,0.30,1,0,0.03,0,0.06,1.41,27,27,21.1
"Pastel, de carne, frito",112,100,10.10,43.80,388,25,20.10,1,0,2.50,13,1040,14.00,156,0.22,90,0.12,1.20,3.10,0,0.06,0.05,0,1.83,0,0,22.9
"Farinha, de arroz, enriquecida",113,100,1.30,85.50,363,0,0.30,0.60,173.60,31.40,1,17,4,13,0.04,36,0,8.50,0.20,0,3.23,0,3.47,24.42,0,0,12.7
"Carne, bovina, lagarto, cru",114,100,20.50,0,135,56.00,5.20,0,0,1.30,3,54,20,362,0,185,0.05,2.40,1.10,2,0.10,0.14,0.03,2.19,2,2,71.0
"Guandu, cru",115,100,19,64,344,0,2.10,21.30,1.50,1.90,129,2,166,1215,1.02,269,0.57,2,3.50,0,1.06,0,0.07,2.69,0,0,11.4
"Biscoito, doce, recheado com chocolate",116,100,6.40,70.50,472,0,19.60,3,3.50,2.30,27,239,48,232.00,0.59,139,0.27,1,1.30,0,0.32,0.39,0.46,2.52,0,0,2.2
"Mexerica, Murcote, crua",117,100,0.90,14.90,58.00,0,0.10,3.10,21.80,0.10,33,1,12,159,0.05,19,0.06,0.10,0.50,0,0.08,0.07,0.05,0,0,0,83.7
"Frango, peito, sem pele, grelhado",118,100,32,0,159,89,2.50,0,0,0.30,5,50,18,387,0,295,0.02,0.80,1.40,0,0.11,0,0,24.83,0,0,63.8
"Frango, inteiro, sem pele, cozido",119,100,25,0,170,99,7.10,0,0,0.50,8,51,12,217,0,194,0.04,1.20,0.90,0,0.10,0,0,12.83,0,0,67.5
"Frango, sobrecoxa, sem pele, crua",120,100,17.60,0,162,84,9.60,0,0,0.90,6,80,26,241,0.02,187,0.06,1.70,0.90,4,0.12,0.06,0,4.06,4,4,72.7
"Queijo, minas, meia cura",121,100,21.20,3.60,321,76,24.60,0,0,0.20,696,501,27,120,0.02,403,0.07,2.70,3.50,111.00,0.03,0.32,0,0,0,0,47.1
"Refrigerante, tipo água tônica",122,100,0,8,31,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92.0
"Salpicão, de frango",123,100,13.90,4.60,148,53,7.80,0.40,9.30,0.30,9,248,13,149,0.03,103,0.08,0.40,1.10,0,0.05,0,0,1.48,15,15,72.5
"Carne, bovina, peito, sem gordura, cru",124,100,17.60,0,259,59,20.40,0,0,1.30,4,64,15,241,0,124,0.06,2.60,0.90,4,0.11,0.07,0.03,3.91,4,4,61.5
"Corimbatá, assado",125,100,19.90,0,261,80,19.60,0,0,1,22,40,24,326,0.01,221,0.03,0.70,1,0,0.13,0.06,0,2.70,0,0,59.9
"Carne, bovina, contra-filé, com gordura, cru",126,100,21.20,0,206,73,12.80,0,0,1.30,4,44,18,285,0.01,164,0.04,2.80,0.90,4,0.11,0.08,0.03,3.79,4,4,65.7
Maria mole,127,100,3.80,73.60,301,0,0.20,0.70,0,0.40,13,15,7.00,24,0.06,4,0.20,0.10,0.90,0,0.04,0,0,0,0,0,21.6
Arroz carreteiro,128,100,10.80,11.60,154,36,7.10,1.50,0,1,13,1622,9,87,0.18,48,0.08,2.70,2.40,0,0.03,0,0.07,1.60,0,0,68.0
"Almeirão, refogado",129,100,1.70,5.70,65,0,4.80,3.40,1.50,1.60,63,15,17,315,0.28,31,0.06,0.20,1.20,0,0.03,0.06,0.05,4.03,0,0,86.5
"Creme de milho, pó",130,100,4.80,86.10,333,0,1.60,3.70,96.30,4.30,323,594,30,166,0.20,303,0.04,0.80,1.70,0,0.74,0,2.05,0,0,0,5.7
"Palmito, pupunha, em conserva",131,100,2.50,5.50,29.00,0,0.50,2.60,8.70,0.20,32,563,25,206,0.14,55.00,0.08,0.40,2.10,0,0.03,0,0,0,0,0,89.4
